FileHelpers - Errors Saved at 09 July 2015 13:04:26
LineNumber | LineString |ErrorDescription
4863|4860,0,7 May 2015 12:13:18,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4863. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4869|4866,0,7 May 2015 12:13:24,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4869. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4875|4872,0,7 May 2015 12:13:30,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4875. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
5060|5057,0,7 May 2015 12:16:35,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 5060. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
5066|5063,0,7 May 2015 12:16:41,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 5066. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
5072|5069,0,7 May 2015 12:16:47,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 5072. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
5257|5254,0,7 May 2015 12:19:52,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 5257. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
5263|5260,0,7 May 2015 12:19:58,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 5263. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
5454|5451,0,7 May 2015 12:23:09,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 5454. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
5460|5457,0,7 May 2015 12:23:15,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 5460. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
5651|5648,0,7 May 2015 12:26:26,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 5651. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
20304|20301,0,17 Jun 2015 10:32:20,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 20304. Column: 30. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
20305|20302,0,15 May 2015 16:39:50,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 20305. Column: 30. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
20306|20303,0,7 May 2015 16:03:35,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 20306. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
21252|21249,0,7 May 2015 16:21:02,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 21252. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
21312|21309,0,7 May 2015 16:22:02,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 21312. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
21399|21396,0,7 May 2015 16:23:29,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 21399. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
21405|21402,0,7 May 2015 16:23:35,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 21405. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
21572|21569,1,7 May 2015 16:26:22,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 21572. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22817|22814,2,7 May 2015 16:47:07,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22817. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22821|22818,2,7 May 2015 16:47:11,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22821. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22824|22821,2,7 May 2015 16:47:14,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22824. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22830|22827,2,7 May 2015 16:47:20,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22830. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22832|22829,2,7 May 2015 16:47:22,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22832. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22837|22834,2,7 May 2015 16:47:27,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22837. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22840|22837,2,7 May 2015 16:47:30,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22840. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22844|22841,2,7 May 2015 16:47:34,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22844. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22846|22843,2,7 May 2015 16:47:36,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22846. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22848|22845,2,7 May 2015 16:47:38,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22848. Column: 29. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
98919| , , End of Log|The delimiter ',' can´t be found after the field 'TimeStamp' at line 98919 (the record has less fields, the delimiter is wrong or the next field must be marked as optional).
